City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Nanortalik,GL,2022-07-14 08:54:51,60.1432,-45.2371,47.08,92,100,16.4
273,Haines Junction,CA,2022-07-14 08:54:51,60.7522,-137.5108,49.95,87,26,1.14
274,Mount Gambier,AU,2022-07-14 08:54:09,-37.8333,140.7667,48.11,93,40,1.14
275,Narsaq,GL,2022-07-14 08:54:51,60.9167,-46.05,50.99,51,100,10.04
276,Krasnoselkup,RU,2022-07-14 08:54:52,65.7,82.4667,64.11,45,97,9.84
277,Matagami,CA,2022-07-14 08:54:52,49.7502,-77.6328,48.31,81,0,8.05
278,Manadhoo,MV,2022-07-14 08:54:53,5.7667,73.3833,82.74,76,88,16.78
279,Tigre,AR,2022-07-14 08:54:53,-34.426,-58.5796,52.21,79,0,8.05
280,Waterloo,CA,2022-07-14 08:51:01,43.4668,-80.5164,56.79,99,0,3.44
281,Lai,TD,2022-07-14 08:54:53,9.3952,16.2989,82.31,55,99,5.28
282,Mackay,AU,2022-07-14 08:54:54,-21.15,149.2,51.67,55,19,12.8
283,Karpogory,RU,2022-07-14 08:54:54,64.0019,44.4451,74.55,61,100,9.82
284,Fairbanks,US,2022-07-14 08:54:54,64.8378,-147.7164,57.31,77,97,1.01
285,Jacareacanga,BR,2022-07-14 08:54:55,-6.2222,-57.7528,70.18,69,6,1.9
286,Vanersborg,SE,2022-07-14 08:54:55,58.3807,12.3234,61.57,63,75,14.97
287,Clarksdale,US,2022-07-14 08:50:44,34.2001,-90.5709,75.18,100,100,0.0
288,Pathein,MM,2022-07-14 08:54:56,16.7833,94.7333,78.93,90,100,9.75
289,Havoysund,NO,2022-07-14 08:54:56,70.9963,24.6622,59.23,93,100,3.87
290,Hamilton,US,2022-07-14 08:51:19,39.1834,-84.5333,70.0,92,0,1.01
291,Baruun-Urt,MN,2022-07-14 08:54:56,46.6806,113.2792,81.01,29,100,11.03
292,Taywarah,AF,2022-07-14 08:54:57,33.35,64.4167,78.87,10,0,2.48
293,Perpignan,FR,2022-07-14 08:51:31,42.75,2.75,83.82,65,0,2.3
